mof,relative_humidity_percent,temperature_c,max_uptake_kgkg,rh50_percent,steepness,regen_temp_c,cycle_minutes,water_stability_score,cost_score,pore_volume_cm3g,surface_area_m2g,uptake_kgkg
MOF-303,23.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.19891706451916338
MOF-303,23.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.20774803978210324
MOF-303,26.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.2653060373506713
MOF-303,26.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.2746061929953078
MOF-303,26.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.274609273725066
MOF-303,26.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.2459935319853621
MOF-303,26.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.23515652657599256
MOF-303,29.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.31800083062755197
MOF-303,29.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3174406421996189
MOF-303,29.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.28930758055520356
MOF-303,29.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.2922549228003976
MOF-303,29.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.2886466054422585
MOF-303,32.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.33088198561870646
MOF-303,32.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.35976031401250746
MOF-303,32.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3369020611943573
MOF-303,32.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3137942592864618
MOF-303,32.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3245300392664826
MOF-303,35.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.38250361052622533
MOF-303,35.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.35896502715594614
MOF-303,35.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.35931642896721794
MOF-303,35.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.35040824946675436
MOF-303,35.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.31882119931963054
MOF-303,38.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.39805675545556685
MOF-303,38.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3890636244074314
MOF-303,38.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.38227432968926733
MOF-303,38.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3759351567691603
MOF-303,38.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3271732287222651
MOF-303,41.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4032641715952089
MOF-303,41.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3952668173520726
MOF-303,41.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3863206688744222
MOF-303,41.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3545140532746892
MOF-303,41.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3377591779546268
MOF-303,44.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4055712800371992
MOF-303,44.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.41871079817605805
MOF-303,44.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4053512705318686
MOF-303,44.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.35940924766417387
MOF-303,44.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3412803348794891
MOF-303,47.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,47.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3885367544058276
MOF-303,47.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.39038992176385623
MOF-303,47.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.37828268536260673
MOF-303,47.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3697875606891343
MOF-303,50.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,50.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.41136674830215963
MOF-303,50.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3942586662418334
MOF-303,50.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.37906749979102483
MOF-303,50.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3754345988420243
MOF-303,53.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4119387832344655
MOF-303,53.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4134309178849631
MOF-303,53.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.40462314805094945
MOF-303,53.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.38225983060067525
MOF-303,53.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3563171602534036
MOF-303,56.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4048164862038243
MOF-303,56.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4180470343051744
MOF-303,56.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3961349055690785
MOF-303,56.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3987240018821887
MOF-303,56.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.36747641308502177
MOF-303,59.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4185855127856713
MOF-303,59.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,59.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.39804179207556106
MOF-303,59.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.39799073355157066
MOF-303,59.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3601679083538803
MOF-303,62.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,62.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4038125846024449
MOF-303,62.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4066913319910148
MOF-303,62.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3655005898542221
MOF-303,62.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3361768937105618
MOF-303,65.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4159149004861639
MOF-303,65.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.40876949172751803
MOF-303,65.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4047545116464998
MOF-303,65.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.41294021269503767
MOF-303,65.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.35084833761913803
MOF-303,68.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.41224564349594717
MOF-303,68.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,68.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4088598073688913
MOF-303,68.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.384037456419743
MOF-303,68.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.35849918725557706
MOF-303,71.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,71.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,71.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3906372251193808
MOF-303,71.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.38529777031819734
MOF-303,71.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.36148130488150854
MOF-303,74.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4072438991887234
MOF-303,74.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,74.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.39280632834106166
MOF-303,74.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3979706979760522
MOF-303,74.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3634249855531098
MOF-303,77.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,77.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.41284436141533964
MOF-303,77.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.401715915697098
MOF-303,77.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3623688100027611
MOF-303,77.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.34756867377239214
MOF-303,80.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,80.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.39441802527972925
MOF-303,80.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4133216988481051
MOF-303,80.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3654108056945805
MOF-303,80.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3702471756441429
MOF-303,83.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.40982979686308113
MOF-303,83.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,83.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4047481452983453
MOF-303,83.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.36793568107352453
MOF-303,83.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.37616893967626586
MOF-303,86.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,86.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4191953422668001
MOF-303,86.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3998986058271826
MOF-303,86.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3844677974560508
MOF-303,86.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3494852731060253
MOF-303,89.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,89.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.41347601564668035
MOF-303,89.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4025768051220448
MOF-303,89.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.37687190448281066
MOF-303,89.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3536791409949583
MOF-303,92.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4046615550963704
MOF-303,92.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.42
MOF-303,92.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4013454357610649
MOF-303,92.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.39798577578763544
MOF-303,92.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.36135495611087776
MOF-303,95.0,15,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4116636039241577
MOF-303,95.0,25,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.4160762231365654
MOF-303,95.0,35,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.3964738158002939
MOF-303,95.0,45,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.386492239746284
MOF-303,95.0,60,0.42,22,0.16,85,20,0.88,0.72,0.52,1250,0.356693741704546
MOF-801,5.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.015759697104835532
MOF-801,5.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.0028158614865061472
MOF-801,5.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.008902256256838178
MOF-801,5.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.037658747666051304
MOF-801,5.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.008593733023657308
MOF-801,8.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.015030575038405514
MOF-801,8.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.0317276164807878
MOF-801,8.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.043459778864970315
MOF-801,8.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.008017032820921935
MOF-801,8.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.02130228024228794
MOF-801,11.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.03145685378204313
MOF-801,11.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.01790925073733319
MOF-801,11.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.04629894556319224
MOF-801,11.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.03563683865226293
MOF-801,11.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.034432978740676606
MOF-801,14.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.045039893915953526
MOF-801,14.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.0595250415412636
MOF-801,14.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.04543335812804072
MOF-801,14.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.048027382556515424
MOF-801,14.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.03319903365718036
MOF-801,17.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.05852876517391194
MOF-801,17.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.08914838056001055
MOF-801,17.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.06411186191009216
MOF-801,17.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.07077240270896708
MOF-801,17.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.062479433317704364
MOF-801,20.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.09074332801827414
MOF-801,20.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.08994153880737371
MOF-801,20.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.09975657873071056
MOF-801,20.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.08473169356089981
MOF-801,20.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.08077455681016599
MOF-801,23.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.12216849698148559
MOF-801,23.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.13601993813817584
MOF-801,23.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.1251918964589434
MOF-801,23.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.1167408944442756
MOF-801,23.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.09807272421359169
MOF-801,26.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.13250358114837169
MOF-801,26.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.1604815649692729
MOF-801,26.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.15472108316756183
MOF-801,26.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.13547172853589326
MOF-801,26.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.1347176030773086
MOF-801,29.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.18497869121431965
MOF-801,29.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.18557558799967455
MOF-801,29.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.17963392126394462
MOF-801,29.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.15608585279434561
MOF-801,29.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.16919685792019412
MOF-801,32.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.18468092887121038
MOF-801,32.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.20998072249456268
MOF-801,32.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.19758162869618243
MOF-801,32.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.1941522712872818
MOF-801,32.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.1942385388759103
MOF-801,35.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23784714093246023
MOF-801,35.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.20629167236564452
MOF-801,35.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.1909683844786255
MOF-801,35.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2122337603404087
MOF-801,35.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.17704891492613706
MOF-801,38.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2362339001015806
MOF-801,38.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24645949448941307
MOF-801,38.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.20720188596050967
MOF-801,38.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.19215237813240896
MOF-801,38.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.20640076594224838
MOF-801,41.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24943695999616544
MOF-801,41.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24595469246422283
MOF-801,41.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23941057331321627
MOF-801,41.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.21866579568673405
MOF-801,41.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.19589579032862778
MOF-801,44.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.25616343595321356
MOF-801,44.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24650278987118474
MOF-801,44.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.22811498652829304
MOF-801,44.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24357840348739457
MOF-801,44.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2212836494397825
MOF-801,47.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2697116663048477
MOF-801,47.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.25296178456814267
MOF-801,47.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24634328540860387
MOF-801,47.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23165814162939163
MOF-801,47.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2171169561194218
MOF-801,50.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.27189336655663665
MOF-801,50.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26015277614762444
MOF-801,50.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26303932814774134
MOF-801,50.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2520616649251709
MOF-801,50.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2561136173700949
MOF-801,53.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.25612391072223617
MOF-801,53.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,53.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26085002855907136
MOF-801,53.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.25084203216925494
MOF-801,53.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.21724178031158928
MOF-801,56.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26958777651599547
MOF-801,56.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,56.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26311595771373597
MOF-801,56.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.25407394653213117
MOF-801,56.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23310608778386802
MOF-801,59.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,59.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2764128123350497
MOF-801,59.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.239198675744204
MOF-801,59.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24623197388271204
MOF-801,59.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2143110562150687
MOF-801,62.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23871977659895047
MOF-801,62.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2713756533876412
MOF-801,62.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,62.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.25608351345168334
MOF-801,62.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.22478330383416192
MOF-801,65.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26717543788972486
MOF-801,65.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,65.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26921680233660933
MOF-801,65.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2567627203022463
MOF-801,65.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23883735775895568
MOF-801,68.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.279418886922651
MOF-801,68.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,68.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.27443056800090027
MOF-801,68.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.25922989348156183
MOF-801,68.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.22738953176314855
MOF-801,71.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,71.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.27108274977507457
MOF-801,71.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,71.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.24169760767341628
MOF-801,71.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23854114293613962
MOF-801,74.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.279433115395359
MOF-801,74.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.2636256682231246
MOF-801,74.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,74.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.27468458285150055
MOF-801,74.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23482541161522566
MOF-801,77.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,77.0,25,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
MOF-801,77.0,35,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23712604643640345
MOF-801,77.0,45,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.26030650452535486
MOF-801,77.0,60,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.23978505187224064
MOF-801,80.0,15,0.28,25,0.13,65,90,0.86,0.55,0.48,990,0.28
