location,hour,temperature_c,relative_humidity_percent,solar_w_m2
"Miami, Florida",11,30.1,61.4,649.0
"Miami, Florida",12,30.6,59.0,702.0
"Miami, Florida",13,30.9,57.5,720.0
"Miami, Florida",14,31.0,57.0,702.0
"Miami, Florida",15,30.9,57.5,649.0
"Miami, Florida",16,30.6,59.0,563.0
"Miami, Florida",17,30.1,61.4,449.0
"Miami, Florida",18,29.5,64.5,312.0
"Miami, Florida",19,28.8,68.1,160.0
"Miami, Florida",20,28.0,72.0,0.0
"Miami, Florida",21,27.2,75.9,0.0
"Miami, Florida",22,26.5,79.5,0.0
"Miami, Florida",23,25.9,82.6,0.0
Singapore,0,27.3,88.7,0.0
Singapore,1,27.1,89.7,0.0
Singapore,2,27.0,90.0,0.0
Singapore,3,27.1,89.7,0.0
Singapore,4,27.3,88.7,0.0
Singapore,5,27.6,87.1,0.0
Singapore,6,28.0,85.0,0.0
Singapore,7,28.5,82.6,156.0
Singapore,8,29.0,80.0,302.0
Singapore,9,29.5,77.4,431.0
Singapore,10,30.0,75.0,535.0
Singapore,11,30.4,72.9,608.0
Singapore,12,30.7,71.3,645.0
Singapore,13,30.9,70.3,645.0
Singapore,14,31.0,70.0,608.0
Singapore,15,30.9,70.3,535.0
Singapore,16,30.7,71.3,431.0
Singapore,17,30.4,72.9,302.0
Singapore,18,30.0,75.0,156.0
Singapore,19,29.5,77.4,0.0
Singapore,20,29.0,80.0,0.0
Singapore,21,28.5,82.6,0.0
Singapore,22,28.0,85.0,0.0
Singapore,23,27.6,87.1,0.0
"Nairobi, Kenya",0,16.8,70.6,0.0
"Nairobi, Kenya",1,16.2,72.4,0.0
"Nairobi, Kenya",2,16.0,73.0,0.0
"Nairobi, Kenya",3,16.2,72.4,0.0
"Nairobi, Kenya",4,16.8,70.6,0.0
"Nairobi, Kenya",5,17.8,67.7,0.0
"Nairobi, Kenya",6,19.0,64.0,0.0
"Nairobi, Kenya",7,20.4,59.7,99.0
"Nairobi, Kenya",8,22.0,55.0,291.0
"Nairobi, Kenya",9,23.6,50.3,463.0
"Nairobi, Kenya",10,25.0,46.0,603.0
"Nairobi, Kenya",11,26.2,42.3,702.0
"Nairobi, Kenya",12,27.2,39.4,753.0
"Nairobi, Kenya",13,27.8,37.6,753.0
"Nairobi, Kenya",14,28.0,37.0,702.0
"Nairobi, Kenya",15,27.8,37.6,603.0
"Nairobi, Kenya",16,27.2,39.4,463.0
"Nairobi, Kenya",17,26.2,42.3,291.0
"Nairobi, Kenya",18,25.0,46.0,99.0
"Nairobi, Kenya",19,23.6,50.3,0.0
"Nairobi, Kenya",20,22.0,55.0,0.0
"Nairobi, Kenya",21,20.4,59.7,0.0
"Nairobi, Kenya",22,19.0,64.0,0.0
"Nairobi, Kenya",23,17.8,67.7,0.0
